timestamp,node_id,tier,anomaly_score,alert_level,message
2026-01-01 00:10:00,N_FULL_01,Full,0.014,WARNING,Abnormal deformation pattern detected at N_FULL_01 (Full tier).
2026-01-01 00:10:00,N_LITE_01,Lite,0.049,WARNING,Abnormal deformation pattern detected at N_LITE_01 (Lite tier).
2026-01-01 00:10:00,N_GNSS_01,GNSS,0.006,WARNING,Abnormal deformation pattern detected at N_GNSS_01 (GNSS tier).
2026-01-01 00:30:00,N_LITE_06,Lite,0.003,WARNING,Abnormal deformation pattern detected at N_LITE_06 (Lite tier).
2026-01-01 00:30:00,N_LITE_02,Lite,0.036,WARNING,Abnormal deformation pattern detected at N_LITE_02 (Lite tier).
2026-01-01 00:40:00,N_LITE_06,Lite,0.045,WARNING,Abnormal deformation pattern detected at N_LITE_06 (Lite tier).
2026-01-01 00:50:00,N_LITE_06,Lite,0.045,WARNING,Abnormal deformation pattern detected at N_LITE_06 (Lite tier).
2026-01-01 00:50:00,N_LITE_01,Lite,0.044,WARNING,Abnormal deformation pattern detected at N_LITE_01 (Lite tier).
2026-01-01 00:50:00,N_GNSS_03,GNSS,0.027,CRITICAL,Abnormal deformation pattern detected at N_GNSS_03 (GNSS tier).
2026-01-01 00:50:00,N_GNSS_04,GNSS,0.101,WARNING,Abnormal deformation pattern detected at N_GNSS_04 (GNSS tier).
2026-01-01 00:50:00,N_GNSS_05,GNSS,0.013,WARNING,Abnormal deformation pattern detected at N_GNSS_05 (GNSS tier).
2026-01-01 01:10:00,N_LITE_02,Lite,0.039,WARNING,Abnormal deformation pattern detected at N_LITE_02 (Lite tier).
2026-01-01 01:20:00,N_GNSS_05,GNSS,0.099,WARNING,Abnormal deformation pattern detected at N_GNSS_05 (GNSS tier).
2026-01-01 01:20:00,N_GNSS_04,GNSS,0.076,WARNING,Abnormal deformation pattern detected at N_GNSS_04 (GNSS tier).
2026-01-01 01:30:00,N_LITE_03,Lite,0.014,CRITICAL,Abnormal deformation pattern detected at N_LITE_03 (Lite tier).
2026-01-01 01:30:00,N_GNSS_02,GNSS,0.014,WARNING,Abnormal deformation pattern detected at N_GNSS_02 (GNSS tier).
2026-01-01 01:40:00,N_LITE_01,Lite,0.111,WARNING,Abnormal deformation pattern detected at N_LITE_01 (Lite tier).
2026-01-01 01:40:00,N_FULL_01,Full,0.051,WARNING,Abnormal deformation pattern detected at N_FULL_01 (Full tier).
2026-01-01 01:40:00,N_LITE_02,Lite,0.114,WARNING,Abnormal deformation pattern detected at N_LITE_02 (Lite tier).
2026-01-01 01:50:00,N_GNSS_02,GNSS,0.009,WARNING,Abnormal deformation pattern detected at N_GNSS_02 (GNSS tier).
2026-01-01 02:00:00,N_GNSS_01,GNSS,0.076,WARNING,Abnormal deformation pattern detected at N_GNSS_01 (GNSS tier).
2026-01-01 02:10:00,N_GNSS_02,GNSS,0.038,WARNING,Abnormal deformation pattern detected at N_GNSS_02 (GNSS tier).
2026-01-01 02:10:00,N_GNSS_01,GNSS,0.02,WARNING,Abnormal deformation pattern detected at N_GNSS_01 (GNSS tier).
2026-01-01 02:20:00,N_LITE_02,Lite,0.026,WARNING,Abnormal deformation pattern detected at N_LITE_02 (Lite tier).
2026-01-01 02:40:00,N_GNSS_05,GNSS,0.017,WARNING,Abnormal deformation pattern detected at N_GNSS_05 (GNSS tier).
2026-01-01 03:00:00,N_GNSS_03,GNSS,0.02,CRITICAL,Abnormal deformation pattern detected at N_GNSS_03 (GNSS tier).
2026-01-01 04:40:00,N_LITE_04,Lite,0.019,WARNING,Abnormal deformation pattern detected at N_LITE_04 (Lite tier).
2026-01-01 04:50:00,N_GNSS_05,GNSS,0.021,WARNING,Abnormal deformation pattern detected at N_GNSS_05 (GNSS tier).
2026-01-01 05:00:00,N_GNSS_05,GNSS,0.003,WARNING,Abnormal deformation pattern detected at N_GNSS_05 (GNSS tier).
2026-01-01 05:10:00,N_GNSS_04,GNSS,0.01,WARNING,Abnormal deformation pattern detected at N_GNSS_04 (GNSS tier).
