sample_id,rms_acceleration_mps2,dominant_frequency_hz,peak_acceleration_mps2,vibration_hazard_label
SIM_VIB_00001,0.03,6.3256,0.09279,0
SIM_VIB_00002,0.43709,26.3359,2.20308,1
SIM_VIB_00003,0.2394,13.9279,0.65614,0
SIM_VIB_00004,0.19188,1.566,0.48347,0
SIM_VIB_00005,1.22237,35.5309,4.66597,1
SIM_VIB_00006,0.18706,3.0076,0.50078,0
SIM_VIB_00007,0.21776,10.5572,0.85529,0
SIM_VIB_00008,0.23042,8.2047,0.68496,0
SIM_VIB_00009,0.07921,4.0344,0.68316,0
SIM_VIB_00010,0.28007,11.6633,0.52389,0
SIM_VIB_00011,1.74063,23.8995,3.34517,1
SIM_VIB_00012,0.2859,13.8525,0.55197,0
SIM_VIB_00013,0.17377,8.4594,0.6717,0
SIM_VIB_00014,0.25675,6.2387,0.74309,0
SIM_VIB_00015,0.25585,5.1238,0.81146,0
SIM_VIB_00016,0.27314,4.8531,0.81422,0
SIM_VIB_00017,0.18253,5.3517,0.5642,0
SIM_VIB_00018,1.4918,38.7531,4.60489,1
SIM_VIB_00019,0.12574,10.5807,0.32076,0
SIM_VIB_00020,0.2508,10.7846,0.64701,0
SIM_VIB_00021,0.36381,5.425,1.01635,0
SIM_VIB_00022,2.25692,54.2954,6.09582,1
SIM_VIB_00023,0.73458,23.4772,1.65847,1
SIM_VIB_00024,0.17664,6.9062,0.432,0
SIM_VIB_00025,1.68419,50.7633,4.30525,1
SIM_VIB_00026,0.43437,24.2079,1.22476,1
SIM_VIB_00027,0.17506,7.0869,0.31802,0
SIM_VIB_00028,1.19787,49.9196,3.83776,1
SIM_VIB_00029,0.12555,6.1067,0.29399,0
SIM_VIB_00030,0.59178,18.3003,2.12674,1
SIM_VIB_00031,1.64551,35.3968,4.44415,1
SIM_VIB_00032,0.7977,19.3006,1.79605,1
SIM_VIB_00033,0.79936,21.3046,2.60487,1
SIM_VIB_00034,0.22779,11.3811,0.72741,0
SIM_VIB_00035,0.30396,9.9814,0.86535,0
SIM_VIB_00036,0.12433,4.7993,0.24985,0
SIM_VIB_00037,0.72531,25.505,2.4802,1
SIM_VIB_00038,0.15386,6.7142,0.58454,0
SIM_VIB_00039,1.18418,49.6024,3.72811,1
SIM_VIB_00040,0.30368,10.4185,0.58129,0
SIM_VIB_00041,0.19283,7.4984,0.3175,0
SIM_VIB_00042,0.28135,7.5614,0.52339,0
SIM_VIB_00043,0.15174,9.9412,0.44459,0
SIM_VIB_00044,0.18076,7.8433,0.8625,0
SIM_VIB_00045,0.47624,35.679,1.57969,1
SIM_VIB_00046,0.80587,21.813,2.4843,1
SIM_VIB_00047,1.00569,33.4706,4.45438,1
SIM_VIB_00048,0.87644,28.8369,2.44398,1
SIM_VIB_00049,0.2629,15.8381,0.78088,0
SIM_VIB_00050,0.19525,9.3187,0.64433,0
SIM_VIB_00051,0.21715,11.0048,0.91022,0
SIM_VIB_00052,0.20642,8.0553,0.62366,0
SIM_VIB_00053,0.07706,4.3524,0.34865,0
