node_id,tier,anomaly_rate,severity,progression_rate_per_hr,severity_rank,zone_risk_score,zone_risk_level,recommended_action
N_CRACK_03,Crack,0.2289156626506024,High,0.04634017043784895,3,3.4578313253012047,High-risk zone,Dispatch inspection team + increase sampling rate + prepare evacuation advisory for nearby assets
N_FULL_03,Full,0.1927710843373494,High,0.12880153226144997,3,3.3855421686746987,High-risk zone,Dispatch inspection team + increase sampling rate + prepare evacuation advisory for nearby assets
N_LITE_03,Lite,0.12048192771084337,High,0.0003243706393518324,3,3.2409638554216866,High-risk zone,Dispatch inspection team + increase sampling rate + prepare evacuation advisory for nearby assets
N_GNSS_03,GNSS,0.03614457831325301,High,0.2111363502791654,3,3.072289156626506,High-risk zone,Dispatch inspection team + increase sampling rate + prepare evacuation advisory for nearby assets
N_FULL_01,Full,0.14285714285714285,Medium,0.08020069454287741,2,2.2857142857142856,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_CRACK_01,Crack,0.11904761904761904,Medium,0.023975160473828094,2,2.238095238095238,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_GNSS_04,GNSS,0.0963855421686747,Medium,0.0644266403593468,2,2.1927710843373496,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_LITE_01,Lite,0.09523809523809523,Medium,0.00019373876683203404,2,2.1904761904761907,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_GNSS_01,GNSS,0.09523809523809523,Medium,0.16355531031689785,2,2.1904761904761907,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_CRACK_05,Crack,0.08433734939759036,Medium,0.024692414256328454,2,2.1686746987951806,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_FULL_05,Full,0.07228915662650602,Medium,0.05383624113177449,2,2.144578313253012,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_LITE_05,Lite,0.03614457831325301,Medium,0.00011023302967969437,2,2.072289156626506,Medium-risk zone,Increase monitoring frequency at this node; schedule full-node upgrade if trend continues
N_GNSS_05,GNSS,0.12048192771084337,Low,0.0214555224381848,1,1.2409638554216866,Low-risk zone,Continue routine baseline monitoring
N_CRACK_06,Crack,0.0963855421686747,Low,0.007884127450568826,1,1.1927710843373494,Low-risk zone,Continue routine baseline monitoring
N_LITE_06,Lite,0.0963855421686747,Low,3.850858486209661e-05,1,1.1927710843373494,Low-risk zone,Continue routine baseline monitoring
N_LITE_02,Lite,0.09523809523809523,Low,3.463488913637758e-05,1,1.1904761904761905,Low-risk zone,Continue routine baseline monitoring
N_GNSS_02,GNSS,0.08333333333333333,Low,0.06327974081198744,1,1.1666666666666667,Low-risk zone,Continue routine baseline monitoring
N_FULL_02,Full,0.05952380952380952,Low,0.036387639971651314,1,1.119047619047619,Low-risk zone,Continue routine baseline monitoring
N_GNSS_06,GNSS,0.04819277108433735,Low,0.046017841400444986,1,1.0963855421686748,Low-risk zone,Continue routine baseline monitoring
N_CRACK_02,Crack,0.047619047619047616,Low,0.011778278829604132,1,1.0952380952380953,Low-risk zone,Continue routine baseline monitoring
N_LITE_04,Lite,0.03614457831325301,Low,-1.7490449603290816e-06,1,1.072289156626506,Low-risk zone,Continue routine baseline monitoring
N_CRACK_04,Crack,0.024096385542168676,Low,0.004581016749926535,1,1.0481927710843373,Low-risk zone,Continue routine baseline monitoring
N_FULL_06,Full,0.012048192771084338,Low,0.01579594895260485,1,1.0240963855421688,Low-risk zone,Continue routine baseline monitoring
N_FULL_04,Full,0.0,Low,0.01039334200915159,1,1.0,Low-risk zone,Continue routine baseline monitoring
